B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDVI,EVI,MSAVI,NDRE,FCI,aspect,slope,wetnessindex,sink,ASM1,ASM2,contrast1,contrast2,correlation1,correlation2,dissimilarity1,dissimilarity2,energy1,energy2,homogeneity1,homogeneity2,key,class
0.11255,0.0819,0.06735,0.04215,0.06735,0.1564,0.18585,0.1734,0.1975,0.06285,0.0798,0.0346,0.6089074460681977,0.2574417838312829,0.2364016476003599,0.4404984423676013,0.085491578532625,293.1985778808594,5.438007831573486,7.300565242767334,55685.0,4036.745562130177,63.49112426035502,0.1168376457406952,0.3418152216339923,63.48520710059171,0.0,1.0,0.1164174923847203,0.00024904527079,4035.994082840236,0.3412000767654081,1.0,2,7
0.11255,0.08325,0.0704,0.04325,0.0681,0.1532,0.1839,0.1753,0.19255,0.06285,0.08185,0.03505,0.604209563029055,0.2580916269251817,0.2372017347671872,0.4404272801972063,0.0870731014722687,270.0,5.710593223571777,7.237059116363525,53195.0,4073.946745562131,63.781065088757416,0.1119358565876545,0.3345681643367379,63.7751479289941,0.0,1.0,0.111725779909667,0.0002468431568399,4073.195266272191,0.3342540649112095,1.0,2,7
0.11255,0.08165,0.06995,0.04265,0.06735,0.1564,0.18585,0.1792,0.1975,0.06285,0.0798,0.0346,0.6155059725039441,0.2663745747370392,0.2453651927288452,0.4536605151084973,0.0874235666167881,270.0,5.710593223571777,7.251345157623291,55685.0,4061.242603550296,63.68047337278108,0.1103952942824131,0.3322578731684369,63.67455621301775,0.0,1.0,0.1102552431637547,0.0002476421005916,4060.491124260355,0.332047049623626,1.0,2,7
0.1122,0.0841,0.0702,0.04425,0.07075,0.1735,0.21535,0.20335,0.22345,0.0658,0.09805,0.0418,0.6425686591276253,0.3037302890305831,0.2832295143057173,0.4837650492520977,0.0948590401595968,45.0,4.04469108581543,7.618971824645996,58695.0,4007.514792899408,63.27810650887574,0.1601134414061132,0.4001417766318748,63.27810650887574,0.0,1.0,0.1601134414061132,0.0002503233784029,4007.514792899408,0.4001417766318748,1.0,3,7
0.1122,0.08355,0.0706,0.0446,0.0719,0.18285,0.22185,0.19595,0.2373,0.0658,0.10325,0.04325,0.6291831220120557,0.2903897957774043,0.2697500439934325,0.4631323501960052,0.0934845976618608,359.9885559082031,2.862405300140381,7.965545654296875,58695.0,3987.136094674556,63.11242603550296,0.1535310388291726,0.3918303699678888,63.11242603550296,0.0,1.0,0.1535310388291726,0.0002517538619098,3987.136094674556,0.3918303699678888,1.0,3,7
0.1122,0.0838,0.071,0.0457,0.0719,0.18285,0.22185,0.2083,0.2373,0.0658,0.10325,0.04325,0.6401574803149607,0.3084265315103416,0.2881941918992312,0.4867951463240543,0.0975669513718656,45.0,4.04469108581543,7.618971824645996,58695.0,3973.751479289941,63.005917159763314,0.1518504254052729,0.3896799012077386,63.005917159763314,0.0,1.0,0.1518504254052729,0.0002526144456844,3973.751479289941,0.3896799012077386,1.0,3,7
0.1122,0.0847,0.07195,0.0468,0.07125,0.1714,0.2031,0.19025,0.2157,0.0658,0.0994,0.0422,0.6051465935456655,0.2753210959871638,0.2548822675025169,0.4550669216061185,0.0943594192436558,90.0,2.862405300140381,7.965545654296875,58695.0,3998.550295857988,63.20118343195267,0.1491194285914358,0.3861598484972717,63.20118343195267,0.0,1.0,0.1491194285914358,0.0002510922687951,3998.550295857988,0.3861598484972717,1.0,3,7
0.1122,0.08545,0.07445,0.04605,0.07285,0.191,0.2287,0.2161,0.24775,0.0658,0.10765,0.0454,0.648674423040244,0.320457252265155,0.30052905539487,0.4957605121993424,0.0997567290963371,270.0,0.0,0.0,58695.0,3977.3846153846152,63.029585798816576,0.1454780995063198,0.3814159140706111,63.029585798816576,0.0,1.0,0.1454780995063198,0.0002525621845638,3977.3846153846152,0.3814159140706111,1.0,3,7
0.1122,0.0844,0.0735,0.04725,0.07285,0.191,0.2287,0.25025,0.24775,0.0658,0.10765,0.0454,0.6823529411764705,0.3721629450372161,0.3541754331568359,0.5490560198081089,0.1087396546803418,90.0,2.862405300140381,7.965545654296875,58695.0,3963.2248520710064,62.91715976331361,0.1444277161163825,0.3800364668244121,62.91715976331361,0.0,1.0,0.1444277161163825,0.0002534640056543,3963.2248520710064,0.3800364668244121,1.0,3,7
0.11425,0.08775,0.0742,0.0478,0.07445,0.20745,0.26565,0.2489,0.2863,0.07665,0.1184,0.0463,0.6777890124705089,0.3686877575864243,0.3505895557482831,0.5395082727694448,0.1090752950947188,270.0,0.0,0.0,20259.0,4531.952662721893,67.28994082840237,0.1645250516438499,0.4056168779080205,67.28994082840237,0.0,1.0,0.1645250516438499,0.0002214128086909,4531.952662721893,0.4056168779080205,1.0,4,5
